PulicariaLine,Treatment,Parasite,Beaker,Infected
Mid67,diluter,Pasteuria,A,1
Mid67,diluter,Pasteuria,A,1
Mid67,diluter,Pasteuria,A,0
Mid67,diluter,Pasteuria,A,0
Mid67,diluter,Pasteuria,A,0
Mid67,diluter,Pasteuria,B,0
Mid67,diluter,Pasteuria,B,0
Mid67,diluter,Pasteuria,B,0
Mid67,diluter,Pasteuria,B,0
Mid67,diluter,Pasteuria,B,0
Mid67,diluter,Pasteuria,C,0
Mid67,diluter,Pasteuria,C,0
Mid67,diluter,Pasteuria,C,0
Mid67,diluter,Pasteuria,C,0
Mid67,diluter,Pasteuria,C,0
Mid67,diluter,Pasteuria,D,0
Mid67,diluter,Pasteuria,D,0
Mid67,diluter,Pasteuria,D,0
Mid67,diluter,Pasteuria,D,0
Mid67,diluter,Pasteuria,D,0
Mid67,diluter,Pasteuria,E,0
Mid67,diluter,Pasteuria,E,0
Mid67,diluter,Pasteuria,E,0
Mid67,diluter,Pasteuria,E,0
Mid67,diluter,Pasteuria,E,0
Mid67,diluter,Pasteuria,F,0
Mid67,diluter,Pasteuria,F,0
Mid67,diluter,Pasteuria,F,0
Mid67,diluter,Pasteuria,F,0
Mid67,diluter,Pasteuria,F,0
Mid67,diluter,Pasteuria,G,0
Mid67,diluter,Pasteuria,G,0
Mid67,diluter,Pasteuria,G,0
Mid67,diluter,Pasteuria,G,0
Mid67,diluter,Pasteuria,G,0
BA,diluter,Pasteuria,,1
BA,diluter,Pasteuria,,1
BA,diluter,Pasteuria,,0
BA,diluter,Pasteuria,,0
BA,diluter,Pasteuria,,0
BA,diluter,Pasteuria,,0
BA,diluter,Pasteuria,,0
BA,diluter,Pasteuria,,0
BA,diluter,Pasteuria,,0
BA,diluter,Pasteuria,,0
BA,diluter,Pasteuria,,0
BA,diluter,Pasteuria,,0
BA,diluter,Pasteuria,,0
BA,diluter,Pasteuria,,0
BA,diluter,Pasteuria,,0
BA,diluter,Pasteuria,,0
BA,diluter,Pasteuria,,0
BA,diluter,Pasteuria,,0
BA,diluter,Pasteuria,,0
BA,diluter,Pasteuria,,0
BA,diluter,Pasteuria,,0
BA,diluter,Pasteuria,,0
BA,diluter,Pasteuria,,0
BA,diluter,Pasteuria,,0
BA,diluter,Pasteuria,,0
BA,diluter,Pasteuria,,0
BA,diluter,Pasteuria,,0
BA,diluter,Pasteuria,,0
BA,diluter,Pasteuria,,0
BA,diluter,Pasteuria,,0
Pine,diluter,Pasteuria,,0
Pine,diluter,Pasteuria,,0
Pine,diluter,Pasteuria,,0
Pine,diluter,Pasteuria,,0
Pine,diluter,Pasteuria,,0
Pine,diluter,Pasteuria,,0
Pine,diluter,Pasteuria,,0
Pine,diluter,Pasteuria,,0
Pine,diluter,Pasteuria,,0
Pine,diluter,Pasteuria,,0
Pine,diluter,Pasteuria,,0
Pine,diluter,Pasteuria,,0
Pine,diluter,Pasteuria,,0
Pine,diluter,Pasteuria,,0
Pine,diluter,Pasteuria,,0
Pine,diluter,Pasteuria,,0
Pine,diluter,Pasteuria,,0
Pine,diluter,Pasteuria,,0
Pine,diluter,Pasteuria,,0
Pine,diluter,Pasteuria,,0
Pine,diluter,Pasteuria,,0
Pine,diluter,Pasteuria,,0
Pine,diluter,Pasteuria,,0
Pine,diluter,Pasteuria,,0
Pine,diluter,Pasteuria,,0
Pine,diluter,Pasteuria,,0
Pine,diluter,Pasteuria,,0
Pine,diluter,Pasteuria,,0
Pine,diluter,Pasteuria,,0
Pine,diluter,Pasteuria,,0
Pine,diluter,Pasteuria,,0
Pine,diluter,Pasteuria,,0
Pine,diluter,Pasteuria,,0
Pine,diluter,Pasteuria,,0
Pine,diluter,Pasteuria,,0
Clover,diluter,Pasteuria,,1
Clover,diluter,Pasteuria,,1
Clover,diluter,Pasteuria,,1
Clover,diluter,Pasteuria,,1
Clover,diluter,Pasteuria,,0
Clover,diluter,Pasteuria,,0
Clover,diluter,Pasteuria,,0
Clover,diluter,Pasteuria,,0
Clover,diluter,Pasteuria,,0
Clover,diluter,Pasteuria,,0
Clover,diluter,Pasteuria,,0
Clover,diluter,Pasteuria,,0
Clover,diluter,Pasteuria,,0
Clover,diluter,Pasteuria,,0
Clover,diluter,Pasteuria,,0
Clover,diluter,Pasteuria,,0
Clover,diluter,Pasteuria,,0
Clover,diluter,Pasteuria,,0
Clover,diluter,Pasteuria,,0
Clover,diluter,Pasteuria,,0
Clover,diluter,Pasteuria,,0
Clover,diluter,Pasteuria,,0
Clover,diluter,Pasteuria,,0
Clover,diluter,Pasteuria,,0
Clover,diluter,Pasteuria,,0
Clover,diluter,Pasteuria,,0
Clover,diluter,Pasteuria,,0
Clover,diluter,Pasteuria,,0
Clover,diluter,Pasteuria,,0
Clover,diluter,Pasteuria,,0
Clover,diluter,Pasteuria,,0
Clover,diluter,Pasteuria,,0
W,diluter,Pasteuria,,1
W,diluter,Pasteuria,,1
W,diluter,Pasteuria,,0
W,diluter,Pasteuria,,0
W,diluter,Pasteuria,,0
W,diluter,Pasteuria,,0
W,diluter,Pasteuria,,0
W,diluter,Pasteuria,,0
W,diluter,Pasteuria,,0
W,diluter,Pasteuria,,0
W,diluter,Pasteuria,,0
W,diluter,Pasteuria,,0
W,diluter,Pasteuria,,0
W,diluter,Pasteuria,,0
W,diluter,Pasteuria,,0
W,diluter,Pasteuria,,0
W,diluter,Pasteuria,,0
W,diluter,Pasteuria,,0
W,diluter,Pasteuria,,0
W,diluter,Pasteuria,,0
W,diluter,Pasteuria,,0
W,diluter,Pasteuria,,0
W,diluter,Pasteuria,,0
W,diluter,Pasteuria,,0
W,diluter,Pasteuria,,0
W,diluter,Pasteuria,,0
W,diluter,Pasteuria,,0
W,diluter,Pasteuria,,0
W,diluter,Pasteuria,,0
W,diluter,Pasteuria,,0
W,diluter,Pasteuria,,0
W,diluter,Pasteuria,,0
W,diluter,Pasteuria,,0
W,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
