line,dose,age,code,rep,Metsch,whiteglobs,ExposureDate,DeathDate,censored,status,Notes
Pine,control,young,CY4,4,0,0,7/21/2021,8/9/2021,censored,1,
Pine,control,young,CY4,5,0,0,7/21/2021,8/9/2021,censored,1,
Pine,control,young,CY5,1,0,1,7/21/2021,8/9/2021,censored,1,
Pine,control,young,CY5,2,0,0,7/21/2021,8/9/2021,censored,1,
Pine,control,young,CY5,3,0,0,7/21/2021,8/9/2021,censored,1,
Pine,control,young,CY5,4,0,0,7/21/2021,8/9/2021,censored,1,
Pine,control,young,CY5,5,0,0,7/21/2021,8/9/2021,censored,1,
Pine,high,middle,HM1,1,0,0,7/21/2021,8/9/2021,censored,1,
Pine,high,middle,HM1,2,0,0,7/21/2021,8/9/2021,censored,1,
Pine,high,middle,HM1,3,0,0,7/21/2021,8/9/2021,censored,1,
Pine,high,middle,HM1,4,0,0,7/21/2021,8/9/2021,censored,1,
Pine,high,middle,HM1,5,0,0,7/21/2021,8/9/2021,censored,1,
Pine,high,middle,HM2,1,0,1,7/21/2021,8/9/2021,censored,1,
Pine,high,middle,HM2,2,0,1,7/21/2021,8/9/2021,censored,1,
Pine,high,middle,HM2,3,0,0,7/21/2021,8/9/2021,censored,1,
Pine,high,middle,HM2,4,0,0,7/21/2021,8/9/2021,censored,1,
Pine,high,middle,HM2,5,0,0,7/21/2021,8/9/2021,censored,1,
Pine,high,middle,HM3,1,0,1,7/21/2021,8/9/2021,censored,1,
Pine,high,middle,HM3,2,0,1,7/21/2021,8/9/2021,censored,1,
Pine,high,middle,HM3,3,0,0,7/21/2021,8/9/2021,censored,1,
Pine,high,middle,HM3,4,0,0,7/21/2021,8/9/2021,censored,1,
Pine,high,middle,HM3,5,0,0,7/21/2021,8/9/2021,censored,1,
Pine,high,middle,HM4,1,0,1,7/21/2021,8/9/2021,censored,1,
Pine,high,middle,HM4,2,0,0,7/21/2021,8/9/2021,censored,1,
Pine,high,middle,HM4,3,0,0,7/21/2021,8/9/2021,censored,1,
Pine,high,middle,HM4,4,0,0,7/21/2021,8/9/2021,censored,1,
Pine,high,middle,HM4,5,0,0,7/21/2021,8/9/2021,censored,1,
Pine,high,middle,HM5,1,0,1,7/21/2021,8/9/2021,censored,1,
Pine,high,middle,HM5,2,0,0,7/21/2021,8/9/2021,censored,1,
Pine,high,middle,HM5,3,0,0,7/21/2021,8/9/2021,censored,1,
Pine,high,middle,HM5,4,0,0,7/21/2021,8/9/2021,censored,1,
Pine,high,middle,HM5,5,0,0,7/21/2021,8/9/2021,censored,1,
Pine,control,middle,CM1,1,0,1,7/21/2021,8/9/2021,censored,1,
Pine,control,middle,CM1,2,0,0,7/21/2021,8/9/2021,censored,1,
Pine,control,middle,CM1,3,0,0,7/21/2021,8/9/2021,censored,1,
Pine,control,middle,CM1,4,0,0,7/21/2021,8/9/2021,censored,1,
Pine,control,middle,CM1,5,0,0,7/21/2021,8/9/2021,censored,1,
Pine,control,middle,CM2,1,0,0,7/21/2021,8/9/2021,censored,1,
Pine,control,middle,CM2,2,0,0,7/21/2021,8/9/2021,censored,1,
Pine,control,middle,CM2,3,0,0,7/21/2021,8/9/2021,censored,1,
Pine,control,middle,CM2,4,0,0,7/21/2021,8/9/2021,censored,1,
Pine,control,middle,CM3,1,0,1,7/21/2021,8/9/2021,censored,1,
Pine,control,middle,CM3,2,0,1,7/21/2021,8/9/2021,censored,1,
Pine,control,middle,CM3,3,0,1,7/21/2021,8/9/2021,censored,1,
Pine,control,middle,CM3,4,0,0,7/21/2021,8/9/2021,censored,1,
Pine,control,middle,CM3,5,0,0,7/21/2021,8/9/2021,censored,1,
Pine,control,middle,CM4,1,0,1,7/21/2021,8/9/2021,censored,1,
Pine,control,middle,CM4,2,0,0,7/21/2021,8/9/2021,censored,1,
Pine,control,middle,CM4,3,0,0,7/21/2021,8/9/2021,censored,1,
Pine,control,middle,CM4,4,0,0,7/21/2021,8/9/2021,censored,1,
Pine,control,middle,CM4,5,0,0,7/21/2021,8/9/2021,censored,1,
Pine,high,old,HO1,1,0,1,7/21/2021,8/9/2021,censored,1,
Pine,high,old,HO1,2,0,1,7/21/2021,8/9/2021,censored,1,
Pine,high,old,HO1,3,0,0,7/21/2021,8/9/2021,censored,1,
Pine,high,old,HO1,4,0,0,7/21/2021,8/9/2021,censored,1,
Pine,high,old,HO1,5,0,0,7/21/2021,8/9/2021,censored,1,
Pine,high,old,HO2,1,0,0,7/21/2021,8/9/2021,censored,1,
Pine,high,old,HO2,2,0,0,7/21/2021,8/9/2021,censored,1,
Pine,high,old,HO2,3,0,0,7/21/2021,8/9/2021,censored,1,
Pine,high,old,HO2,4,0,0,7/21/2021,8/9/2021,censored,1,
Pine,high,old,HO2,5,0,0,7/21/2021,8/9/2021,censored,1,
Pine,high,old,HO3,1,NA,NA,7/21/2021,7/22/2021,,2,
Pine,high,old,HO3,2,0,0,7/21/2021,8/9/2021,censored,1,
Pine,high,old,HO3,3,0,0,7/21/2021,8/9/2021,censored,1,
Pine,high,old,HO3,4,0,0,7/21/2021,8/9/2021,censored,1,
Pine,high,old,HO3,5,0,0,7/21/2021,8/9/2021,censored,1,
Pine,high,old,HO4,1,0,1,7/21/2021,8/9/2021,censored,1,
Pine,high,old,HO4,2,0,1,7/21/2021,8/9/2021,censored,1,
Pine,high,old,HO4,3,0,1,7/21/2021,8/9/2021,censored,1,
Pine,high,old,HO4,4,0,1,7/21/2021,8/9/2021,censored,1,
Pine,high,old,HO4,5,0,0,7/21/2021,8/9/2021,censored,1,
Pine,high,old,HO5,1,0,1,7/21/2021,8/9/2021,censored,1,
Pine,high,old,HO5,2,0,1,7/21/2021,8/9/2021,censored,1,
Pine,high,old,HO5,3,0,0,7/21/2021,8/9/2021,censored,1,
Pine,high,old,HO5,4,0,0,7/21/2021,8/9/2021,censored,1,
Pine,high,old,HO5,5,0,0,7/21/2021,8/9/2021,censored,1,
Pine,control,old,CO1,1,0,1,7/21/2021,8/9/2021,censored,1,
Pine,control,old,CO1,2,0,1,7/21/2021,8/9/2021,censored,1,
Pine,control,old,CO1,3,0,0,7/21/2021,7/21/2021,,2,
Pine,control,old,CO1,4,0,0,7/21/2021,7/21/2021,,2,
Pine,control,old,CO1,5,0,0,7/21/2021,8/9/2021,censored,1,
Pine,control,old,CO2,1,0,0,7/21/2021,8/9/2021,censored,1,
Pine,control,old,CO2,2,0,0,7/21/2021,8/9/2021,censored,1,
Pine,control,old,CO2,3,0,0,7/21/2021,8/9/2021,censored,1,
Pine,control,old,CO2,4,0,0,7/21/2021,8/9/2021,censored,1,
Pine,control,old,CO2,5,0,0,7/21/2021,8/9/2021,censored,1,
Pine,control,old,CO3,1,0,0,7/21/2021,8/9/2021,censored,1,
Pine,control,old,CO3,2,0,0,7/21/2021,8/9/2021,censored,1,
Pine,control,old,CO3,3,0,0,7/21/2021,8/9/2021,censored,1,
Pine,control,old,CO3,4,0,0,7/21/2021,8/9/2021,censored,1,
Pine,control,old,CO3,5,0,0,7/21/2021,8/9/2021,censored,1,
Pine,control,old,CO4,1,0,1,7/21/2021,8/9/2021,censored,1,
Pine,control,old,CO4,2,0,1,7/21/2021,8/9/2021,censored,1,
Pine,control,old,CO4,3,0,0,7/21/2021,8/9/2021,censored,1,
Pine,control,old,CO4,4,0,0,7/21/2021,8/9/2021,censored,1,
Pine,control,old,CO4,5,0,0,7/21/2021,8/9/2021,censored,1,
Pine,control,old,CO6,1,0,1,7/21/2021,8/9/2021,censored,1,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
